"Timestamp","What do you enjoy playing in Generals Zero Hour?","Do you participate in Multiplayer leagues, tournaments or challenges?","What platform(s) do you use when playing Multiplayer?","Do you use any optional tools?","When playing a match in Singleplayer or Multiplayer, do you encounter any gameplay issues that are frustrating?","When playing a match in Multiplayer, do you encounter any faction (army) balancing issues that appear unfair?","All Community Mods aside, how happy are you with the overall state of original Zero Hour 1.04 Version?","If Electronic Arts (EA) was to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","If Community Users were to patch Generals Zero Hour 1.04 today and fix exploits, bugs and improve performance, graphics, sounds and imbalances, how happy would you be about it?","What patch changes would be be acceptable for you beyond fixes and improvements with mainly Multiplayer in mind?","If an original game feature is bugged and its use has been accepted as not cheating/exploiting, would you prefer the bug to be fixed, even if it meant the gameplay changed because of it?","If an original game feature is imbalanced and impossible to fix by just changing build cost and build time, would you prefer the imbalance to be fixed, even if it meant the gameplay changed because of it?","If Community Users would release and distribute a new patch with fixes and improvements, would you be concerned about its adoption success by the general Multiplayer population? (Player base split)","Would a new patch with fixes and improvements be an incentive for you to play more Multiplayer?","Here you can write anything that is on your mind related to this questionnaire. What do you find frustrating? What would you like to see improved?"
"2021/08/30 8:44:24 AM GMT+2","Multiplayer","Yes","CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, many","1","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","No","Yes",""
"2021/08/30 9:39:48 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, often","No","4","5","5","New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","Yes","Yes","Just what i wont is playing without crashing"
"2021/08/30 9:45:14 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;Other","GenTool (latest)","Yes, sometimes","No","3","3","3","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, less",""
"2021/08/30 9:45:15 AM GMT+2","Multiplayer","Yes","GameRanger;Radmin;Other","GenTool (latest)","Yes, sometimes","No","3","3","3","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, less",""
"2021/08/30 9:53:32 AM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, often","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers","No","No","Yes","Yes","The thing frustrating me most as a simi player, is the china dozer movement and the rocket bugged while shooting from high ground to lower ground."
"2021/08/30 10:06:56 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, sometimes","No","3","5","5","Menu changes;Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/30 10:09:13 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","","","Yes, often","","3","4","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes, if the impact is small","No","Yes","UI & shortcut key can be more customized"
"2021/08/30 10:10:14 AM GMT+2","Singleplayer;Multiplayer","No","GameRanger;Hamachi;Other","GenTool (latest)","Yes, often","Yes, a few","5","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","No","Yes","Bring back cnc generals zero hour to life, keep the original factions and idea, just add better graphics and few new realistic weapons.. Don't make it futuristic too much it's an over kill.. Keep it normal and reflecting the current technology the world has right now.. "
"2021/08/30 10:15:00 AM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","Radmin","GenTool (latest)","Yes, often","Yes, many","2","5","5","Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/30 11:15:22 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger","GenTool (latest)","No","Yes, a few","3","3","5","Menu changes;Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","For me there's not much about the game I would change, but then I don't play multiplayer so I don't know all the imbalances, however the main issue for me is getting the game to run on newer systems, and even when I do get it working, if I stop playing for a while and come back to it, the cycle starts again, it won't run and I have to go through re-installing and patching all over again, this is one thing that has put me off playing the game for the most part, be when it does work I enjoy it and the mods. There has to be a way to make running the game more consistent."
"2021/08/30 11:28:37 AM GMT+2","Multiplayer","No","GameRanger","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","3","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","No","Yes","Yes","Yes","The biggest issue with a new patch is splitting the player base. It is very important to get as many people playing on Gentool BEFORE a patch is released. This could be done by allowing network players to see who is on gentool and who isn't. 

1.04+ should not be used as the patch. A new patch should be created with a limited number of changes with the aim of fixing the biggest imbalances. Just changing the build time and cost of units is not the best way of balancing a game. "
"2021/08/30 11:31:53 AM GMT+2","Singleplayer;Multiplayer","No","CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, sometimes","Yes, a few","4","5","5","New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes","Focus on fixing netcode of the game wich is terrible, and try to uncouple framerate and animations speed from game engine speed."
"2021/08/30 11:40:35 AM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","3","Audio and visual changes for existing units, buildings and powers","Yes","Yes, if the impact is small","Yes","No, same",""
"2021/08/30 11:52:17 AM GMT+2","Multiplayer","Yes","","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","5","","Yes, if the impact is small","No","Yes","Yes",""
"2021/08/30 12:09:50 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","5","3","3","New factions (armies)","No","No","No","No, less",""
"2021/08/30 2:06:31 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, many","4","4","4","Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers","No","Yes, if the impact is small","Yes","No, same",""
"2021/08/30 2:30:40 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin;Hamachi","GenTool (latest)","Yes, sometimes","No","3","5","5","Audio and visual changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","Yes","Yes","I like to see bug fix if more 3k object on map game is crash and new online service with i can play with many player and no cradh or mismatch and new mission campaning that all=)"
"2021/08/30 2:52:12 PM GMT+2","Multiplayer","Yes","CNC Online (Revora)","GenTool (latest);Other","Yes, sometimes","Yes, a few","5","5","4","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes","Yes","WE WANT A GENTOOL UPGRADED INTERFACE
ALSO GAME LAG EVEN WITH STRONG VIDEO CARD LIKE GTX 1080 WHICH CAN RUN STRONG GAMES ON 60 FPS AND CANNOT RUN GENERALS UP 55FPS (IN DEFCON GAMES)
ALSO WE WANT FIXING THE PLAYERS RANK IN REVORA SERVER,IF A  PLAYER PLAYED 10 GAMES OF 1V1 [RANK]MAPS AND WON AT ALL THE SERVER WONT RECORD TO PLAYER MORE THAN 4 WINS 
ALSO IT IS BETTER IF GENTOOL WAS D3D8TO9.DLL AT DEFAULT USE DIRECTX 9 RATHER THAN 8 FOR IMPROVING GRAPHIC  ."
"2021/08/30 2:53:40 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger","","Yes, sometimes","Yes, a few","3","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes, a bit","",""
"2021/08/30 2:58:13 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","New units, buildings or powers;New factions (armies)","No","Yes","No","Yes",""
"2021/08/30 3:20:16 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Other","Other","Yes, sometimes","No","4","4","4","Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","No","No, same","AI behavior based on difficulty chosen. For some mods, Easy Difficulty is either too easy, with the AI barely doing anything, or too hard, with the AI being a difficult opponent even on easy. Likewise, the AI can be very difficult even on Medium difficulty."
"2021/08/30 4:43:59 PM GMT+2","Multiplayer","","GameRanger","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/30 4:58:29 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger","GenPatcher","Yes, sometimes","No","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes","Yes","Yes","I hope if a patch was gonna be released to not cause crash to other mods that we okay, mainly the most popular ones such as sw and rotr"
"2021/08/30 5:23:56 PM GMT+2","Singleplayer;Multiplayer","Yes","GameRanger;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","4","4","New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same",""
"2021/08/30 5:46:39 PM GMT+2","Singleplayer;Multiplayer","No","","GenTool (old)","Yes, sometimes","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, less","Not change the game too much and apply balance to all of the factions and restore unused stuff like sounds and units."
"2021/08/30 5:56:17 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","","Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","2","5","5","Audio and visual changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","No","Yes, if the impact is small","Yes","Yes",""
"2021/08/30 6:19:29 PM GMT+2","Singleplayer;Multiplayer","No","GameRanger","GenTool (latest)","Yes, sometimes","Yes, a few","3","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes","No","Yes","One thing that I think will bring confusion is the ""1.04+"". For people unaware of the patch (that will exist alot), I think it should be named 1.07 or something else that indicates that this patch is newer than the existing 1.06, since 1.04+ will always be numerically lower than 1.06. Even if gentool or whatever program autodownloads it, there will always be a need to search about it first, and having results with 1.06 and 1.04+... I get it why you are naming it like that, its like dragon ball GT and Super (since GT was not cannon), but non the less, its not intuitive for those unware. Just my 2 cents :).
Also, how about an option for ""No SW""? There is already a ""patch/mod"" with an .ini file for that, but an option in skirmish/lan would be awsome. The china upgrades could be moved to the propaganda center instead when the SW are not available.
Another thing, the need to press 99999 times the 1-5 stars upgrades (even in single player).
The ability to further zoom out even in multiplayer without custom .exes."
"2021/08/30 6:55:44 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","4","3","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","No, same",""
"2021/08/30 7:24:45 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","","GenTool (latest)","No","","1","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes","No","No, same","Pathfinding has been frustrating including units getting stuck on bridges and on edgy terrain. It should be fixed firsthand."
"2021/08/30 7:29:32 PM GMT+2","Multiplayer","Yes","CNC Online (Revora)","GenTool (latest)","Yes, often","No","3","5","5","New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","Yes","Multi-player mismatch - I would love to donate money for multi-player mismatch fix "
"2021/08/30 7:48:15 PM GMT+2","Singleplayer","No","","GenTool (latest)","Yes, sometimes","","5","1","5","Ingame Interface changes","No","No","No","No, same","I exclusively play singleplayer atm, and thus far the only relevant frustrations I've had are from some grouped units forgetting commands. I.e. infantry forget their commands to garrison selected structures when clumped.

If at all possible in improvements to the UI, a simple QoL feature such as a patrol command I would greatly appreciate."
"2021/08/30 10:35:28 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, a few","3","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","No","Yes","QoL improvements, united software with all features of GenTool and GenPatcher with overhaul and mod launcher"
"2021/08/30 10:43:03 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","","Radmin;CNC Online (Revora)","","Yes, sometimes","Yes, many","2","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes",""
"2021/08/30 11:16:00 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin;Hamachi;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","4","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes","Yes","Yes, a bit","Yes",""
"2021/08/31 12:48:21 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","","","Yes, often","","3","5","5","Ingame Interface changes","Yes, if the impact is small and the balance is adjusted accordingly","No","No","","There are only 2 things that bother me so much, first one is game crashes and second one is AI glitches, if these two got fixed i would be so happy"
"2021/08/31 1:51:29 AM GMT+2","Multiplayer","No","GameRanger","GenTool (latest);GenTool (old)","Yes, often","Yes, a few","2","5","4","Menu changes;Ingame Interface changes","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes","make multiplayer easy to use
no bugs like mishmash, lobby bugs, etc
possibility to search for replays on genttol, also possibility to comment / rate profiles
I feel like the random army chooses more china ... I always play china lol..GL"
"2021/08/31 4:05:35 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","3","3","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes","No","No, same",""
"2021/08/31 11:28:47 AM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","4","5","2","","Yes, if the impact is small","Yes, if the impact is small","Yes","No, same",""
"2021/08/31 7:02:26 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, a few","4","4","3","Audio and visual changes for existing units, buildings and powers;New factions (armies)","No","","","",""
"2021/08/31 7:04:31 PM GMT+2","Singleplayer;Multiplayer","Yes","GameRanger","GenTool (latest)","No","Yes, a few","4","4","4","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/31 7:10:13 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Radmin","GenTool (latest);ControlBarPro","","Yes, a few","3","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/08/31 7:13:39 PM GMT+2","Singleplayer","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","Remastered would be nice whit maybe USA inf, china air, gla tank ? Performance upgrades en late eco fix (balanced) "
"2021/08/31 8:19:03 PM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi","","Yes, often","Yes, a few","3","5","5","Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","No","Yes, a bit","Yes",""
"2021/08/31 10:21:27 PM GMT+2","Multiplayer","Yes","GameRanger;Radmin","GenTool (latest);ControlBarPro","Yes, sometimes","Yes, many","4","5","5","","Yes","Yes, if the impact is small","No","Yes",""
"2021/09/01 1:49:11 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...);Other","No","Radmin","GenTool (latest)","Yes, sometimes","Yes, a few","3","4","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes",""
"2021/09/01 3:28:35 AM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, a few","2","5","5","Damage, Speed, Health changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes, if the impact is small","No","Yes","I honestly would play the game almost non-stop and bring my friends into it if the ""Critical error"" and ""Mismatch error"" bugs were fixed, theres a lot of forums and community made patches that suggest they fix these issues but they continue to plague the gameplay with every fix I try and I eventually turn to other games. A patch that actually fixed this, I'd even be willing to pay for."
"2021/09/01 6:44:21 AM GMT+2","Multiplayer","No","GameRanger","GenTool (latest);GenPatcher","Yes, often","Yes, a few","3","1","4","Damage, Speed, Health changes for existing units, buildings and powers","Yes","","Yes","Yes",""
"2021/09/01 12:49:13 PM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Other","GenTool (latest)","Yes, sometimes","No","4","5","5","Menu changes;Ingame Interface changes;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","Yes, a bit","Yes",""
"2021/09/01 4:27:37 PM GMT+2","Singleplayer;Multiplayer","No","GameRanger;Hamachi","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes","No, same",""
"2021/09/01 5:08:44 PM GMT+2","Singleplayer;Multiplayer","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, often","Yes, many","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","Yes",""
"2021/09/01 5:36:22 PM GMT+2","Multiplayer","No","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest)","Yes, often","Yes, many","2","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","Yes","Yes","I really hate that all USA gameplay boils down to spamming humvees with missile defenders inside of them. And i really hate that USA has auroras. USA never uses tanks. Pls fix."
"2021/09/01 6:24:30 PM GMT+2","Multiplayer","No","CNC Online (Revora)","GenTool (latest)","No","Yes, a few","5","5","5","","Yes, if the impact is small","Yes","Yes","Yes","Ok my main and only question: is it possible to create a game patch that would remove the need for IPv4 online? This is a big issue for me. As you probably know the game has a connection issue online if a user has IPv6 and is not portforwarded. I myself have IPv4 which allowed me to portforward ZH. But my friends dont have IPv4 they have IPv6.. and 6 is not told by the game to open the needed ports so we cannot play online at all. Im not that smart for this, but you lot would be my heros (and im sure a lot of other peoples too) if this was somehow fixable. I commend you all for trying to improve ZH. Thank you all."
"2021/09/01 7:46:40 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","Yes","GameRanger;Radmin;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, sometimes","Yes, a few","5","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","No, same",""
"2021/09/01 8:33:38 PM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","","","Yes, sometimes","Yes, many","4","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers","Yes","Yes","No","No, same",""
"2021/09/02 1:21:34 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","No","Hamachi","","No","No","4","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","No","Yes, a bit","No, same","Toxin RPG troopers should either deal bonus damage to infantry (if they don’t already) or have their attack graphics altered to not be misleading.

Units should display their health and damage stats somewhere, either via tool tips when selected (an ability that does nothing but it explains the attack damage, weapon speed, special effects, damage type, health, speed. Capture abilities and other ones that require that me to cast should have that listed. Build times should be displayed along with costs.)"
"2021/09/02 1:32:21 AM GMT+2","Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","GameRanger;CNC Online (Revora)","GenTool (old)","Yes, sometimes","Yes, a few","3","5","3","Menu changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers","Yes","Yes, if the impact is small","Yes, a bit","No, same","E-3"
"2021/09/02 7:05:57 AM GMT+2","Multiplayer","No","GameRanger;CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, many","3","5","5","Menu changes;Ingame Interface changes;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes","Yes","I think adding new stuff would be better than changing what's already in the game... Sometimes players prefer the OP stuff"
"2021/09/02 8:18:33 AM GMT+2","Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest)","Yes, sometimes","Yes, a few","4","5","5","Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small","Yes, if the impact is small","Yes","Yes",""
"2021/09/02 10:00:23 AM GMT+2","Singleplayer;Mods (ROTR, Shockwave, Contra, ...)","","Radmin","GenTool (latest);ControlBarPro","Yes, often","","5","3","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes","resolution"
"2021/09/02 10:26:14 AM GMT+2","Singleplayer","No","","","","No","5","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes","Yes","Yes",""
"2021/09/02 12:30:58 PM GMT+2","Singleplayer;Multiplayer;Mods (ROTR, Shockwave, Contra, ...)","No","CNC Online (Revora)","GenTool (latest);ControlBarPro","","Yes, a few","3","5","5","Audio and visual changes for existing units, buildings and powers;New units, buildings or powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/09/02 1:21:48 PM GMT+2","Multiplayer","No","GameRanger;Radmin","GenTool (latest)","Yes, often","Yes, many","1","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes, a bit","Yes","Bugs!!!!"
"2021/09/02 3:07:13 PM GMT+2","Multiplayer","Yes","GameRanger;CNC Online (Revora)","GenTool (latest);ControlBarPro;GenPatcher","Yes, often","Yes, many","1","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes","Yes","Yes","Yes","look at how heroes 3 released a community mod (like gentool) and how it basically saved heroes 3 despite a vocal community of people against it. now even those people are for it. it added a completely new faction in addition to balance changes. this can be the same for zh"
"2021/09/02 4:23:49 PM GMT+2","Singleplayer;Multiplayer","No","CNC Online (Revora)","GenTool (latest);GenPatcher","Yes, sometimes","Yes, a few","3","5","5","Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes, if the impact is small and the balance is adjusted accordingly","Yes, if the impact is small","Yes, a bit","Yes",""
"2021/09/02 7:00:52 PM GMT+2","Multiplayer","No","GameRanger","GenTool (old)","Yes, sometimes","Yes, many","2","5","5","Menu changes;Ingame Interface changes;Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers;New units, buildings or powers;New factions (armies)","Yes, if the impact is small","Yes","Yes","No, same","Changes to game are much needed and itd appreciated the work you guys do.. biggest thing is trying to get everyone on board as to not reduce player base"
"2021/09/02 9:05:38 PM GMT+2","Singleplayer;Multiplayer","No","Other","","No","Yes, a few","5","5","5","Audio and visual changes for existing units, buildings and powers;Damage, Speed, Health changes for existing units, buildings and powers;Gameplay or functionality changes for existing units, buildings and powers","Yes","Yes, if the impact is small","Yes, a bit","Yes",""
