"Timestamp","Что вам нравится в игре Generals Zero Hour?","Участвуете ли вы в многопользовательских лигах, турнирах или соревнованиях?","Какие платформы вы используете для игры с другими людьми?","Используете ли вы что-то из ниже перечисленного?","Во время игры в одиночном или многопользовательском режиме сталкиваетесь ли вы с какими-либо игровыми проблемами, которые вас расстраивают?","Сталкиваетесь ли вы с проблемами баланса фракций (армий), которые кажутся несправедливыми или нечестными, когда играете в многопользовательском режиме?","Если отбросить все моды сообщества, насколько вы довольны общим состоянием оригинальной версии Zero Hour 1.04?","Если бы Electronic Arts (EA) сегодня выпустила новый патч на Generals Zero Hour 1.04, исправляющий эксплойты, ошибки, дисбаланс и улучшающий производительность, графику и звуки, насколько вы были бы этому рады?","Если бы Пользователи Сообщества выпустили сегодня патч на Generals Zero Hour 1.04 и исправили эксплойты, ошибки, дисбаланс и улучшили производительность, графику и звуки, насколько бы вы были этому рады?","Какие изменения в патче,  в основном касающихся мультиплеера, были бы приемлемы для вас, помимо исправлений и улучшений?","Если в оригинальной игре есть баг или ошибка, предпочли бы вы, чтобы она была исправлена, даже если бы из-за этого изменился геймплей?","Если в оригинальной игре есть дисбаланс, который невозможно исправить просто изменив стоимость и время строительства, вы бы предпочли, чтобы дисбаланс был исправлен даже если бы из-за этого изменился геймплей?","Если бы Пользователи Сообщества выпустили и распространили новый патч с исправлениями и улучшениями, беспокоились бы вы о том, насколько успешно он будет принят широкой аудиторией мультиплеера? (Разделение игроков на два лагеря)","Стал бы новый патч с исправлениями и улучшениями для вас стимулом, чтобы больше играть в мультиплеер?","Здесь вы можете написать все, что у вас на уме, связанное с этим опросом. Что вас расстраивает? Что вы хотели бы улучшить?"
"2021/08/29 11:24:05 PM GMT+2","Игры Онлайн","Да","CNC Online (Revora)","Другое","Нет","Да, временами","5","5","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/29 11:24:07 PM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Другое","Другое","Нет","Нет","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Нет","Нет","Да",""
"2021/08/29 11:24:08 PM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","5","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","Contra 007(classic) top 1"
"2021/08/29 11:24:49 PM GMT+2","Игры Онлайн;Другое","Нет","GameRanger;Radmin","GenTool (Последняя версия);GenTool (Старая версия)","Да, часто","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 11:29:14 PM GMT+2","Одиночный режим;Игры Онлайн","Нет","","","Да, иногда","Нет","4","5","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да","Да","Да",""
"2021/08/29 11:38:04 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/29 11:44:53 PM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/29 11:55:01 PM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Да",""
"2021/08/29 11:55:56 PM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/29 11:59:13 PM GMT+2","Игры Онлайн","Да","Другое","GenTool (Последняя версия)","Да, часто","","5","5","5","","","","","",""
"2021/08/30 12:00:01 AM GMT+2","Игры Онлайн","Нет","Другое","Другое","Да, иногда","Нет","5","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","","",""
"2021/08/30 12:00:07 AM GMT+2","Одиночный режим","Нет","CNC Online (Revora)","Другое","Да, иногда","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:00:12 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Нет","Да, временами","4","5","4","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/30 12:00:36 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","4","5","4","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:00:45 AM GMT+2","Одиночный режим","Нет","Hamachi","","Да, иногда","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да","Да","Да",""
"2021/08/30 12:01:07 AM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д);Другое","Нет","","Другое","Да, часто","Да, временами","3","4","4","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/30 12:01:09 AM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, часто","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да, немного","Да","арабы заебали"
"2021/08/30 12:01:10 AM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, иногда","Нет","4","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/30 12:01:17 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Да, временами","5","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","","","Я хочу новые генералы
"
"2021/08/30 12:01:34 AM GMT+2","Игры Онлайн","Да","GameRanger;Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, часто","Да, часто","2","5","4","Изменения меню;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/30 12:01:35 AM GMT+2","Игры Онлайн","Нет","GameRanger","GenTool (Последняя версия)","Да, часто","Да, временами","3","2","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:01:35 AM GMT+2","Одиночный режим","Нет","","","Нет","Да, временами","4","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/30 12:01:45 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия);GenPatcher","Да, часто","Нет","3","5","5","Изменения меню","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да","Бесят постоянные нещагрузы , рассинхроны , и ""игра обнаружила несоответствие"""
"2021/08/30 12:02:10 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","Я думаю нужно немного балансить экономику, а так все круто у этой игры"
"2021/08/30 12:02:13 AM GMT+2","Игры Онлайн","Нет","","Другое","Нет","Нет","5","5","5","Новые юниты, здания или повышения","Да","Да","Да","Да",""
"2021/08/30 12:02:35 AM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","GameRanger;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, часто","2","5","3","Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да, если изменения не будут слишком большими","Нет","Да","Хочется чего-то нового! Новых юнитов или вообще фракций. Я давно не играл, но это было бы стимулом зайти снова и начать активно играть."
"2021/08/30 12:02:40 AM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Нет","Да, часто","5","5","5","Новые фракции (армии)","Нет","Да","Нет","Да","Арабов менять нужно"
"2021/08/30 12:03:20 AM GMT+2","Игры Онлайн","Нет","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Нет","5","5","5","Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Нет","Нет","Да",""
"2021/08/30 12:03:25 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Другое","GenTool (Последняя версия)","Да, часто","Да, временами","2","3","4","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными","Нет","Нет","Нет, останется таким же","По больше новых всего и баланса и скоростей"
"2021/08/30 12:03:34 AM GMT+2","Игры Онлайн","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","5","Изменения меню;Изменения внутриигрового интерфейса;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:04:10 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","","GenTool (Старая версия)","Да, иногда","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 12:04:34 AM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","4","5","5","Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 12:05:11 AM GMT+2","Одиночный режим","Нет","Другое","Другое","Да, иногда","Нет","5","5","5","Новые фракции (армии)","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:05:31 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin;Hamachi","","Да, иногда","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Да","Как по мне СВшник очень имбалансный в играх 2на2 и больше, еще можно было бы ослабить лазера, по крайней мере пофиксить ему турели "
"2021/08/30 12:06:46 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","Другое","Нет","Да, временами","5","5","5","Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/30 12:07:14 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Нет","Нет","5","3","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","Да","Да, немного","Да",""
"2021/08/30 12:09:24 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","","Да, часто","Да, временами","3","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да","Да","Да","Да",""
"2021/08/30 12:12:08 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Нет","5","5","5","Изменения меню;Изменения внутриигрового интерфейса","Да","Да, если изменения не будут слишком большими","Да","Да","LoVe GeNeRals 4ever love u "
"2021/08/30 12:12:40 AM GMT+2","Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия)","Да, иногда","Нет","5","4","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да, немного","Нет, останется таким же","gENERALS ЭТО НОСТАЛГИ ЧТОБЫ ВСЕ ЗНАЛИ!!"
"2021/08/30 12:13:14 AM GMT+2","Игры Онлайн","Нет","Другое","Другое","Да, иногда","Да, временами","5","5","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 12:13:18 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Да","Radmin","GenTool (Старая версия)","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/30 12:13:42 AM GMT+2","Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия);GenPatcher","Да, часто","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да","Меня расстраивают подрывники,иногда они танцуют на одном месте("
"2021/08/30 12:14:51 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi","","Да, иногда","Нет","5","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да","Да, немного","Да","Я обожаю эту игру, пожалуйста развивайте ее дальше"
"2021/08/30 12:14:52 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","GameRanger;Radmin","GenTool (Последняя версия);GenTool (Старая версия)","Да, иногда","Да, временами","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Нет","Да","Красавцы, верю в вас!"
"2021/08/30 12:15:53 AM GMT+2","Игры Онлайн","Нет","Hamachi","GenTool (Последняя версия)","Нет","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 12:16:10 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, часто","Нет","4","5","5","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/30 12:20:21 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Другое","Другое","Да, иногда","Нет","4","5","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да","Настройки графики на 4к.
баланс обзора для разных разрешений в игре. "
"2021/08/30 12:23:17 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да",""
"2021/08/30 12:23:24 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Нет","Да","1 Камерой выше чтоб был больше обзора
2 Управление мышкой при окне
3 Тренер для новичков которые хотят попасть на про уровень
4 Полное настройки игры на ютубе чтоб не искать 100 видео --- про игроков (изображение -GenTool)
5 Больше турниров для новичков
6 Все  
Спасибо )"
"2021/08/30 12:24:45 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","2","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 12:30:38 AM GMT+2","Игры Онлайн","Нет","Hamachi","Другое","Да, иногда","Да, временами","5","5","5","Новые юниты, здания или повышения","Да","Да","Нет","Да",""
"2021/08/30 12:34:06 AM GMT+2","Игры Онлайн","Нет","Hamachi;CNC Online (Revora)","GenTool (Последняя версия);Maphack","Да, иногда","Да, временами","5","5","5","Изменения меню;Изменения внутриигрового интерфейса","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да","Играю в генералы с 2003 года.
Игре не хватает стабильного сетевого кода, улучшить интерфейс, поправить вылеты и баги не затрагивающие геймплей. Обкатать этот патч, и только после этого переходить к легким правкам геймплея"
"2021/08/30 12:35:24 AM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, иногда","Нет","4","5","5","Новые юниты, здания или повышения","Да","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же",""
"2021/08/30 12:37:43 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Да, часто","Нет","4","5","5","Изменения меню","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да","У меня на Винде Семёрке (64) Генералы в принципе не хотят работать. Если вы сможете это исправить - я буду орать от счастья.
З.Ы. А ещё было бы очень круто, если бы вы подтянули ИИ противников в миссиях и схватках!"
"2021/08/30 12:50:28 AM GMT+2","Игры Онлайн","Нет","GameRanger","","Да, иногда","Нет","5","5","3","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Нет, останется таким же","не хватает кнопки у ядерной арты. неудобно ей пользоваться, хотелось бы  чтобы она разворачивалась не по своему усмотрению, а по нажатию на кнопки, типа как siege tank в старкрафте."
"2021/08/30 12:53:18 AM GMT+2","Одиночный режим;Моды (Contra, Shockwave, ROTR и т.д)","Нет","","","Нет","","5","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","","Нет","",""
"2021/08/30 1:13:23 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Да","Radmin","GenTool (Старая версия)","Да, иногда","Да, временами","4","5","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да","Мне интересно, почему вы все против Реборн 5,04 и раптора ?"
"2021/08/30 2:30:28 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Нет","5","5","5","","Нет","Нет","Да","Нет, останется таким же","Пофиксить баги и рассинхрон"
"2021/08/30 2:56:32 AM GMT+2","Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin;Hamachi;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, часто","3","2","2","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 3:16:12 AM GMT+2","Игры Онлайн","Нет","GameRanger;Radmin","","Да, иногда","Да, временами","4","5","5","Изменения меню;Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да","Да, немного","Да","ремастер визуальный под уровень 2021 года, переработать модели и проч.  добавить функцию отображения мини-иконок для назначенных групп ( ctrl + 0-9), добавить возможность настраивать хоткеи под себя в меню. добавить юнитам возможность отдавать очередь приказов через шифт, добавить кнопку движения задним ходом для техники"
"2021/08/30 3:19:02 AM GMT+2","Игры Онлайн","Нет","Hamachi","GenTool (Последняя версия)","Да, иногда","","3","5","5","","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же",""
"2021/08/30 3:44:18 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Да, часто","Да, временами","3","5","4","Изменения меню","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да, немного","Да","Багги в меню и множество багов в самой игие, лучшее управление необходимо (окно выделенных юнитов, как в WarCraft 3)"
"2021/08/30 4:13:56 AM GMT+2","Игры Онлайн","Нет","GameRanger","Другое","Да, часто","Да, временами","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Да, немного","Да","Лучшую графику,  но без мультящество. Ненавижу  red allert 3 и тд. Хотелось бы больше реалистичности в графике. "
"2021/08/30 4:54:01 AM GMT+2","Игры Онлайн","Да","GameRanger;Radmin","GenTool (Последняя версия)","Да, часто","Нет","4","5","5","","Да, если изменения будут незначительными и баланс останется таким же","Нет","Да","Да",""
"2021/08/30 4:57:55 AM GMT+2","Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","","Да, часто","Да, временами","4","5","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/30 5:12:29 AM GMT+2","Одиночный режим;Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","3","5","4","Новые фракции (армии)","Да","Да","Да, немного","Да",""
"2021/08/30 5:28:10 AM GMT+2","Игры Онлайн","Нет","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Нет","3","5","5","Новые фракции (армии)","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да","Да",""
"2021/08/30 5:30:33 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Hamachi","GenTool (Последняя версия)","Да, часто","Да, часто","3","5","5","Изменения меню;Изменения внутриигрового интерфейса","Да","Да","Да, немного","Да",""
"2021/08/30 5:37:23 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Нет","Radmin","GenTool (Последняя версия);ControlBarPro","Да, иногда","Да, временами","4","5","5","Изменения внутриигрового интерфейса;Новые юниты, здания или повышения","Да, если изменения будут незначительными и баланс останется таким же","","Да","Да",""
"2021/08/30 6:05:44 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin","GenTool (Последняя версия)","Нет","Нет","4","5","5","Изменения меню;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Нет","Нет","Да","Да",""
"2021/08/30 6:25:22 AM GMT+2","Игры Онлайн","Нет","Radmin","GenTool (Последняя версия)","Нет","Да, временами","3","5","5","Изменения внутриигрового интерфейса;Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными и баланс останется таким же","Да, если изменения не будут слишком большими","Да, немного","Да",""
"2021/08/30 6:40:31 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д)","Да","Radmin;CNC Online (Revora)","GenTool (Последняя версия)","Да, иногда","Да, часто","4","5","5","Изменения урона, скорости, здоровья для существующих юнитов, зданий и повышений;Изменения геймплея или функциональности для существующих юнитов, зданий и повышений;Новые юниты, здания или повышения;Новые фракции (армии)","Да","Да","Да","Да",""
"2021/08/30 6:42:26 AM GMT+2","Игры Онлайн","Да","Radmin","GenTool (Последняя версия)","Да, иногда","Да, временами","5","4","3","Изменения меню;Изменения внутриигрового интерфейса","Нет","Да, если изменения не будут слишком большими","Да","Нет, останется таким же",""
"2021/08/30 6:49:13 AM GMT+2","Одиночный режим;Игры Онлайн;Моды (Contra, Shockwave, ROTR и т.д);Другое","Нет","Radmin","GenTool (Последняя версия);GenPatcher","Да, иногда","Нет","5","5","1","Изменения внутриигрового интерфейса;Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Нет","Нет","Да","Нет, станет меньше",""
"2021/08/30 7:03:55 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","Radmin;Hamachi","GenTool (Последняя версия)","Да, иногда","Да, временами","4","3","5","Изменения геймплея или функциональности для существующих юнитов, зданий и повышений","Да","Да, если изменения не будут слишком большими","Да, немного","Да","Расстраивает система мультиплеера (частые таймауты и прочее при большом числе игроков/юнитов). Думаю, переделать это очень сложно, но на мой взгляд это довольно приоритетная задача, решение которой привлекло бы внимание к патчу большого числа сообщества (кроме изменения игрового баланса)"
"2021/08/30 7:09:50 AM GMT+2","Одиночный режим;Игры Онлайн","Нет","CNC Online (Revora);Другое","GenTool (Последняя версия)","Да, часто","Да, временами","4","5","5","Аудио и визуальные изменения для существующих юнитов, зданий и повышений","Да, если изменения будут незначительными","Да, если изменения не будут слишком большими","Нет","Нет, останется таким же","Удачи вам в развитии этого проекта!"
